closure_time,censor,500m_5yr_churn,Business type,Rate type (STD),cluster,ft to downtown,is_downtown_association,is_home_occ,sq(ft),start_year,type,zone,zone_type
805.0,0,0.3207810320781032,Professional,Professional Service,0,4.497718635914461,0,0,8803.809448645943,2024,Service,O,Office
442.0,1,0.2433862433862433,Massage,General Service,1,9469.014411090846,0,0,18476.260611177648,2018,Service,M,Manufacturing
482.0,1,0.4367816091954023,Massage,Massage Therapist,2,12873.812385833986,0,0,97915.6927441578,2014,Service,C,Commercial
931.0,0,0.3657817109144542,Medical Services,Downtown Association,0,0.0,0,0,9851.591856002056,2023,Downtown Association,O,Office
1089.0,1,0.3404255319148936,Home Occupation,General Service,4,11494.56038747812,0,1,6464.070223888034,2017,Service,R-1,Residential
481.0,1,0.2457496136012364,Misc Business Services,General Service,0,0.0,0,0,5532.136691483377,2015,Service,O,Office
7055.0,0,0.0975609756097561,Rental- Equipment,General Service,1,11637.5290119441,0,0,18241.35220912705,2006,Service,C,Commercial
167.0,1,0.1226993865030674,Home Occupation,General Retailer,0,906.9932328791292,0,1,6487.520651838834,2007,Retail,R-2,Residential
1526.0,1,0.4072164948453608,Retail,General Retailer,2,11713.313200656185,0,0,14238.053285660111,2013,Retail,C,Commercial
8447.0,1,0.0,Retail,General Service,1,5620.431946746649,0,0,4556.216509979883,2000,Service,R-1,Residential
2939.0,1,0.1446540880503144,Auto Mechanic/Detailer/Services,General Service,1,9052.16962249924,0,0,21904.52307695409,2009,Service,M,Manufacturing
989.0,0,0.319626168224299,Business/ Services/ Professions,General Service,0,19.50018256393156,1,0,12282.228377841731,2023,Service,C,Commercial
532.0,1,0.2964539007092198,Property Management,Downtown Association,0,0.0,0,0,5944.631942283941,2018,Downtown Association,C,Commercial
1116.0,1,0.3661971830985915,Home Occupation,General Service,0,3103.101892736074,0,1,244619.315870491,2019,Service,R-4,Residential
8841.0,0,0.0,Engineer,General Service,2,8020.615693727754,0,0,20498.847512391123,2001,Service,C,Commercial
3202.0,1,0.0,Misc Business Services,General Service,2,10557.168410703522,0,0,1040694.0422821196,2005,Service,R-2,Residential
5990.0,0,0.196078431372549,Medical Services,Professional Service,2,12873.812385833986,0,0,97915.6927441578,2009,Service,C,Commercial
8105.0,1,0.0,Recreational Services,Professional Service,0,0.0,0,0,22388.281492934628,1998,Service,O,Office
3580.0,0,0.3174386920980926,Retail,Downtown Association,0,0.0,1,0,25616.3933820472,2016,Downtown Association,C,Commercial
294.0,1,0.4021739130434782,Home Occupation,General Service,2,13021.087531836149,0,1,4050.425882164006,2015,Service,R-1,Residential
23.0,1,0.3628048780487805,Medical Services,Professional Service,0,0.0,0,0,9851.591856002056,2020,Service,O,Office
457.0,1,0.3774733637747336,Medical Services,Downtown Association,0,0.0,0,0,13680.453101762874,2013,Downtown Association,O,Office
4260.0,0,0.3148148148148148,Professional,Downtown Association,0,0.0,0,0,9851.591856002056,2014,Downtown Association,O,Office
